Timestamp(ms),Current(uA)
39028.35,7.880
39028.36,7.837
39028.37,7.880
39028.38,7.968
39028.39,7.924
39028.4,8.099
39028.41,8.012
39028.42,7.880
39028.43,8.055
39028.44,7.968
39028.45,8.055
39028.46,8.055
39028.47,8.187
39028.48,8.187
39028.49,7.968
39028.5,7.924
39028.51,8.012
39028.52,8.055
39028.53,8.012
39028.54,7.880
39028.55,7.968
39028.56,7.837
39028.57,7.924
39028.58,7.880
39028.59,7.837
39028.6,7.749
39028.61,7.705
39028.62,7.749
39028.63,7.793
39028.64,7.793
39028.65,7.793
39028.66,7.924
39028.67,7.924
39028.68,7.968
39028.69,7.793
39028.7,7.837
39028.71,7.924
39028.72,8.012
39028.73,8.055
39028.74,7.880
39028.75,8.012
39028.76,8.099
39028.77,8.012
39028.78,7.924
39028.79,7.968
39028.8,8.055
39028.81,8.143
39028.82,8.055
39028.83,7.793
39028.84,8.055
39028.85,7.749
39028.86,7.793
39028.87,7.837
39028.88,7.837
39028.89,7.968
39028.9,7.837
39028.91,7.793
39028.92,7.837
39028.93,7.837
39028.94,7.837
39028.95,7.662
39028.96,7.793
39028.97,7.705
39028.98,7.837
39028.99,8.012
39029,7.618
39029.01,7.574
39029.02,7.793
39029.03,7.793
39029.04,7.924
39029.05,7.749
39029.06,7.924
39029.07,7.968
39029.08,7.924
39029.09,7.705
39029.1,7.705
39029.11,7.793
39029.12,7.968
39029.13,7.968
39029.14,7.837
39029.15,7.968
39029.16,8.055
39029.17,8.055
39029.18,8.143
39029.19,8.274
39029.2,8.187
39029.21,8.143
39029.22,8.187
39029.23,8.362
39029.24,8.318
39029.25,8.143
39029.26,8.274
39029.27,8.143
39029.28,8.187
39029.29,8.318
39029.3,8.318
39029.31,8.143
39029.32,8.231
39029.33,8.099
39029.34,8.143
39029.35,7.968
39029.36,8.012
39029.37,8.231
39029.38,8.099
39029.39,8.099
39029.4,7.968
39029.41,8.055
39029.42,8.012
39029.43,8.012
39029.44,8.187
39029.45,8.274
39029.46,8.143
39029.47,8.099
39029.48,8.231
39029.49,7.968
39029.5,8.055
39029.51,7.880
39029.52,8.012
39029.53,7.924
39029.54,7.837
39029.55,8.055
39029.56,8.099
39029.57,8.231
39029.58,8.187
39029.59,8.099
39029.6,8.012
39029.61,8.099
39029.62,8.055
39029.63,7.924
39029.64,7.880
39029.65,7.968
39029.66,7.924
39029.67,8.012
39029.68,8.055
39029.69,8.012
39029.7,8.055
39029.71,8.012
39029.72,8.143
39029.73,8.231
39029.74,8.099
39029.75,8.143
39029.76,8.318
39029.77,8.143
39029.78,8.274
39029.79,8.055
39029.8,8.012
39029.81,8.055
39029.82,8.055
39029.83,8.143
39029.84,8.099
39029.85,8.055
39029.86,7.968
39029.87,8.099
39029.88,8.187
39029.89,8.143
39029.9,8.274
39029.91,8.099
39029.92,8.231
39029.93,8.099
39029.94,8.231
39029.95,8.143
39029.96,8.187
39029.97,8.012
39029.98,8.099
39029.99,8.099
39030,8.187
39030.01,8.012
39030.02,8.099
39030.03,8.055
39030.04,8.055
39030.05,8.055
39030.06,8.099
39030.07,8.055
39030.08,8.143
39030.09,8.362
39030.1,8.143
39030.11,8.187
39030.12,7.968
39030.13,8.012
39030.14,8.099
39030.15,8.012
39030.16,7.924
39030.17,7.968
39030.18,7.924
39030.19,8.055
39030.2,7.880
39030.21,7.968
39030.22,8.143
39030.23,8.143
39030.24,8.231
39030.25,8.143
39030.26,8.055
39030.27,8.274
39030.28,8.012
39030.29,8.143
39030.3,8.055
39030.31,8.187
39030.32,8.012
39030.33,8.012
39030.34,8.143
39030.35,8.012
39030.36,7.793
39030.37,7.924
39030.38,7.837
39030.39,7.924
39030.4,7.880
39030.41,7.880
39030.42,7.880
39030.43,8.012
39030.44,7.880
39030.45,7.880
39030.46,7.837
39030.47,7.924
39030.48,7.705
39030.49,7.837
39030.5,7.968
39030.51,8.055
39030.52,7.880
39030.53,8.099
39030.54,7.924
39030.55,8.012
39030.56,7.968
39030.57,8.143
39030.58,8.231
39030.59,8.231
39030.6,8.099
39030.61,8.274
39030.62,8.055
39030.63,8.187
39030.64,8.274
39030.65,8.143
39030.66,8.187
39030.67,8.187
39030.68,8.143
39030.69,8.231
39030.7,8.187
39030.71,8.187
39030.72,8.231
39030.73,8.012
39030.74,8.012
39030.75,7.968
39030.76,7.880
39030.77,8.012
39030.78,7.880
39030.79,7.880
39030.8,7.793
39030.81,7.880
39030.82,7.924
39030.83,7.793
39030.84,7.880
39030.85,8.012
39030.86,8.055
39030.87,8.012
39030.88,7.880
39030.89,8.055
39030.9,7.968
39030.91,7.968
39030.92,7.924
39030.93,7.793
39030.94,7.880
39030.95,7.837
39030.96,7.705
39030.97,7.705
39030.98,7.837
39030.99,7.880
39031,7.618
39031.01,7.837
39031.02,7.662
39031.03,7.618
39031.04,7.837
39031.05,8.012
39031.06,7.837
39031.07,7.880
39031.08,7.837
39031.09,7.793
39031.1,7.880
39031.11,7.749
39031.12,7.662
39031.13,7.793
39031.14,7.793
39031.15,7.837
39031.16,7.837
39031.17,7.837
39031.18,7.837
39031.19,7.968
39031.2,7.793
39031.21,7.837
39031.22,7.924
39031.23,7.705
39031.24,7.705
39031.25,7.837
39031.26,7.793
39031.27,7.749
39031.28,7.618
39031.29,7.618
39031.3,7.705
39031.31,7.924
39031.32,7.924
39031.33,7.880
39031.34,7.924
39031.35,7.880
39031.36,7.793
39031.37,7.837
39031.38,7.793
39031.39,7.749
39031.4,7.749
39031.41,7.793
39031.42,7.793
39031.43,7.968
39031.44,7.749
39031.45,8.012
39031.46,7.924
39031.47,7.968
39031.48,8.012
39031.49,7.793
39031.5,7.880
39031.51,7.837
39031.52,7.837
39031.53,8.099
39031.54,7.924
39031.55,7.924
39031.56,7.924
39031.57,8.055
39031.58,7.924
39031.59,7.924
39031.6,7.837
39031.61,7.924
39031.62,8.012
39031.63,7.924
39031.64,7.749
39031.65,7.880
39031.66,7.837
39031.67,7.837
39031.68,7.749
39031.69,7.880
39031.7,7.793
39031.71,8.055
39031.72,7.968
39031.73,8.012
39031.74,7.924
39031.75,7.968
39031.76,8.187
39031.77,8.099
39031.78,8.012
39031.79,7.924
39031.8,8.055
39031.81,7.880
39031.82,7.837
39031.83,7.837
39031.84,7.837
39031.85,7.924
39031.86,7.793
39031.87,8.012
39031.88,7.793
39031.89,7.837
39031.9,7.793
39031.91,7.705
39031.92,7.662
39031.93,7.618
39031.94,7.705
39031.95,7.749
39031.96,7.662
39031.97,7.749
39031.98,7.837
39031.99,7.662
39032,7.793
39032.01,7.749
39032.02,7.968
39032.03,8.012
39032.04,8.012
39032.05,7.924
39032.06,7.880
39032.07,8.012
39032.08,7.924
39032.09,7.924
39032.1,7.880
39032.11,7.793
39032.12,7.749
39032.13,8.012
39032.14,7.968
39032.15,7.924
39032.16,7.837
39032.17,7.837
39032.18,7.924
39032.19,7.749
39032.2,7.968
39032.21,7.924
39032.22,7.968
39032.23,8.187
39032.24,8.318
39032.25,8.406
39032.26,8.274
39032.27,8.274
39032.28,8.143
39032.29,8.055
39032.3,8.055
39032.31,8.012
39032.32,8.187
39032.33,8.055
39032.34,8.187
39032.35,8.012
39032.36,7.968
39032.37,7.924
39032.38,8.099
39032.39,8.012
39032.4,7.968
39032.41,7.968
39032.42,7.924
39032.43,8.012
39032.44,8.012
39032.45,8.099
39032.46,8.055
39032.47,8.099
39032.48,8.055
39032.49,8.099
39032.5,8.012
39032.51,7.968
39032.52,7.968
39032.53,8.187
39032.54,7.837
39032.55,8.012
39032.56,7.880
39032.57,7.968
39032.58,8.012
39032.59,8.099
39032.6,8.055
39032.61,8.187
39032.62,7.968
39032.63,8.012
39032.64,8.012
39032.65,8.012
39032.66,8.143
39032.67,8.187
39032.68,8.055
39032.69,8.012
39032.7,8.143
39032.71,8.055
39032.72,8.187
39032.73,8.099
39032.74,7.968
39032.75,8.012
39032.76,8.055
39032.77,7.968
39032.78,8.055
39032.79,8.055
39032.8,8.055
39032.81,8.187
39032.82,8.143
39032.83,8.055
39032.84,7.968
39032.85,8.012
39032.86,8.055
39032.87,8.187
39032.88,8.012
39032.89,8.012
39032.9,8.012
39032.91,7.968
39032.92,8.012
39032.93,7.968
39032.94,8.231
39032.95,8.143
39032.96,8.143
39032.97,8.187
39032.98,8.187
39032.99,8.143
39033,8.099
39033.01,8.099
39033.02,8.012
39033.03,8.055
39033.04,8.099
39033.05,8.055
39033.06,7.968
39033.07,8.012
39033.08,8.099
39033.09,7.968
39033.1,7.968
39033.11,8.055
39033.12,8.187
39033.13,8.187
39033.14,8.143
39033.15,8.274
39033.16,8.274
39033.17,8.143
39033.18,8.274
39033.19,8.099
39033.2,8.055
39033.21,8.055
39033.22,8.055
39033.23,8.012
39033.24,7.968
39033.25,7.793
39033.26,7.968
39033.27,7.793
39033.28,7.749
39033.29,7.924
39033.3,7.880
39033.31,7.968
39033.32,8.055
39033.33,8.099
39033.34,8.187
39033.35,8.143
39033.36,8.143
39033.37,8.187
39033.38,8.143
39033.39,8.099
39033.4,8.055
39033.41,8.012
39033.42,8.012
39033.43,8.143
39033.44,7.793
39033.45,7.837
39033.46,7.880
39033.47,7.924
39033.48,7.924
39033.49,7.968
39033.5,7.793
39033.51,8.012
39033.52,7.968
39033.53,8.055
39033.54,8.143
39033.55,8.187
39033.56,8.099
39033.57,8.099
39033.58,7.968
39033.59,7.924
39033.6,7.968
39033.61,7.968
39033.62,8.055
39033.63,8.099
39033.64,8.099
39033.65,8.099
39033.66,8.012
39033.67,8.187
39033.68,7.968
39033.69,8.187
39033.7,8.099
39033.71,8.099
39033.72,8.143
39033.73,8.099
39033.74,8.187
39033.75,7.924
39033.76,7.968
