Timestamp(ms),Current(uA)
41466.5,7.837
41466.51,7.924
41466.52,8.012
41466.53,8.012
41466.54,8.012
41466.55,7.924
41466.56,7.793
41466.57,7.749
41466.58,7.793
41466.59,7.837
41466.6,7.705
41466.61,7.837
41466.62,7.662
41466.63,7.618
41466.64,7.749
41466.65,7.399
41466.66,7.618
41466.67,7.837
41466.68,7.749
41466.69,7.880
41466.7,7.880
41466.71,7.924
41466.72,7.880
41466.73,7.705
41466.74,7.793
41466.75,7.793
41466.76,7.837
41466.77,7.837
41466.78,7.618
41466.79,7.618
41466.8,7.443
41466.81,7.749
41466.82,7.705
41466.83,7.662
41466.84,7.662
41466.85,7.618
41466.86,7.574
41466.87,7.487
41466.88,7.662
41466.89,7.443
41466.9,7.749
41466.91,7.662
41466.92,7.574
41466.93,7.618
41466.94,7.574
41466.95,7.443
41466.96,7.443
41466.97,7.443
41466.98,7.705
41466.99,7.749
41467,7.705
41467.01,7.618
41467.02,7.705
41467.03,7.618
41467.04,7.662
41467.05,7.443
41467.06,7.530
41467.07,7.487
41467.08,7.662
41467.09,7.443
41467.1,7.618
41467.11,7.574
41467.12,7.618
41467.13,7.837
41467.14,7.924
41467.15,7.793
41467.16,7.837
41467.17,7.793
41467.18,7.793
41467.19,7.837
41467.2,7.705
41467.21,7.924
41467.22,7.880
41467.23,7.924
41467.24,7.924
41467.25,7.793
41467.26,7.880
41467.27,7.924
41467.28,7.968
41467.29,7.880
41467.3,7.924
41467.31,7.968
41467.32,8.012
41467.33,7.924
41467.34,8.012
41467.35,8.099
41467.36,7.924
41467.37,7.837
41467.38,8.055
41467.39,7.924
41467.4,7.793
41467.41,7.837
41467.42,7.837
41467.43,7.837
41467.44,7.618
41467.45,7.662
41467.46,7.705
41467.47,7.793
41467.48,7.662
41467.49,7.662
41467.5,7.793
41467.51,7.837
41467.52,7.968
41467.53,7.793
41467.54,7.924
41467.55,7.837
41467.56,7.837
41467.57,7.793
41467.58,7.968
41467.59,7.924
41467.6,7.924
41467.61,7.968
41467.62,7.880
41467.63,7.924
41467.64,7.793
41467.65,7.837
41467.66,7.968
41467.67,7.924
41467.68,7.968
41467.69,7.880
41467.7,7.793
41467.71,7.793
41467.72,7.968
41467.73,7.924
41467.74,8.055
41467.75,7.880
41467.76,8.143
41467.77,8.012
41467.78,8.055
41467.79,7.968
41467.8,8.143
41467.81,8.143
41467.82,7.837
41467.83,7.968
41467.84,7.968
41467.85,7.924
41467.86,7.749
41467.87,7.880
41467.88,7.924
41467.89,7.880
41467.9,7.880
41467.91,8.012
41467.92,7.837
41467.93,7.924
41467.94,7.880
41467.95,7.749
41467.96,8.012
41467.97,7.793
41467.98,8.012
41467.99,7.924
41468,7.968
41468.01,7.880
41468.02,8.012
41468.03,8.187
41468.04,8.187
41468.05,8.012
41468.06,8.055
41468.07,8.143
41468.08,8.231
41468.09,8.187
41468.1,8.143
41468.11,8.055
41468.12,8.143
41468.13,8.143
41468.14,8.012
41468.15,8.055
41468.16,7.924
41468.17,7.880
41468.18,7.924
41468.19,7.793
41468.2,8.012
41468.21,7.793
41468.22,7.837
41468.23,8.012
41468.24,8.055
41468.25,7.968
41468.26,8.012
41468.27,8.012
41468.28,8.143
41468.29,7.968
41468.3,8.099
41468.31,8.055
41468.32,7.793
41468.33,7.924
41468.34,8.012
41468.35,8.055
41468.36,7.793
41468.37,7.924
41468.38,7.749
41468.39,8.012
41468.4,7.793
41468.41,7.662
41468.42,7.618
41468.43,7.705
41468.44,7.880
41468.45,7.618
41468.46,7.749
41468.47,7.793
41468.48,7.837
41468.49,7.530
41468.5,7.574
41468.51,7.530
41468.52,7.530
41468.53,7.399
41468.54,7.399
41468.55,7.487
41468.56,7.618
41468.57,7.618
41468.58,7.793
41468.59,7.880
41468.6,7.793
41468.61,7.705
41468.62,7.574
41468.63,7.749
41468.64,7.705
41468.65,7.793
41468.66,7.749
41468.67,7.705
41468.68,7.530
41468.69,7.749
41468.7,7.530
41468.71,7.662
41468.72,7.618
41468.73,7.530
41468.74,7.530
41468.75,7.662
41468.76,7.662
41468.77,7.705
41468.78,7.793
41468.79,7.837
41468.8,7.793
41468.81,7.793
41468.82,7.793
41468.83,7.924
41468.84,7.924
41468.85,7.618
41468.86,7.924
41468.87,7.837
41468.88,7.618
41468.89,7.837
41468.9,7.837
41468.91,7.749
41468.92,7.880
41468.93,7.793
41468.94,7.705
41468.95,7.662
41468.96,7.662
41468.97,7.793
41468.98,7.749
41468.99,7.837
41469,7.880
41469.01,7.880
41469.02,7.968
41469.03,7.924
41469.04,7.880
41469.05,7.793
41469.06,7.749
41469.07,7.793
41469.08,7.662
41469.09,7.749
41469.1,7.618
41469.11,7.749
41469.12,7.705
41469.13,7.749
41469.14,7.662
41469.15,7.530
41469.16,7.443
41469.17,7.530
41469.18,7.574
41469.19,7.662
41469.2,7.618
41469.21,7.574
41469.22,7.618
41469.23,7.837
41469.24,7.705
41469.25,7.793
41469.26,7.618
41469.27,7.793
41469.28,7.837
41469.29,7.793
41469.3,7.793
41469.31,8.099
41469.32,7.924
41469.33,8.012
41469.34,8.012
41469.35,8.012
41469.36,7.968
41469.37,7.793
41469.38,7.968
41469.39,7.793
41469.4,8.012
41469.41,7.880
41469.42,7.880
41469.43,7.968
41469.44,8.099
41469.45,8.055
41469.46,8.055
41469.47,8.099
41469.48,8.187
41469.49,8.187
41469.5,8.055
41469.51,8.231
41469.52,8.318
41469.53,8.318
41469.54,8.537
41469.55,8.318
41469.56,8.406
41469.57,8.143
41469.58,8.055
41469.59,8.274
41469.6,8.362
41469.61,8.318
41469.62,8.362
41469.63,8.274
41469.64,8.187
41469.65,8.187
41469.66,8.362
41469.67,8.187
41469.68,8.143
41469.69,8.231
41469.7,8.143
41469.71,8.143
41469.72,8.099
41469.73,8.231
41469.74,8.099
41469.75,8.231
41469.76,8.187
41469.77,8.099
41469.78,8.143
41469.79,7.968
41469.8,8.362
41469.81,8.231
41469.82,8.406
41469.83,8.362
41469.84,8.231
41469.85,8.143
41469.86,8.231
41469.87,8.143
41469.88,8.143
41469.89,8.318
41469.9,8.099
41469.91,8.055
41469.92,7.968
41469.93,7.880
41469.94,8.055
41469.95,8.055
41469.96,7.924
41469.97,8.187
41469.98,7.968
41469.99,8.055
41470,8.055
41470.01,7.968
41470.02,8.055
41470.03,7.924
41470.04,7.924
41470.05,8.055
41470.06,7.968
41470.07,8.012
41470.08,8.012
41470.09,7.924
41470.1,7.837
41470.11,7.924
41470.12,7.880
41470.13,8.143
41470.14,8.055
41470.15,7.924
41470.16,8.055
41470.17,7.968
41470.18,8.055
41470.19,8.099
41470.2,8.318
41470.21,8.406
41470.22,8.318
41470.23,8.449
41470.24,8.537
41470.25,8.231
41470.26,8.318
41470.27,8.318
41470.28,8.274
41470.29,8.274
41470.3,8.143
41470.31,8.187
41470.32,8.231
41470.33,8.274
41470.34,8.274
41470.35,8.143
41470.36,8.143
41470.37,8.187
41470.38,8.187
41470.39,8.187
41470.4,8.143
41470.41,8.231
41470.42,8.187
41470.43,8.231
41470.44,8.231
41470.45,8.187
41470.46,8.274
41470.47,8.231
41470.48,8.274
41470.49,8.187
41470.5,8.187
41470.51,8.012
41470.52,8.055
41470.53,8.187
41470.54,8.274
41470.55,8.099
41470.56,8.099
41470.57,8.099
41470.58,8.187
41470.59,8.187
41470.6,8.055
41470.61,8.099
41470.62,8.274
41470.63,7.968
41470.64,8.055
41470.65,8.012
41470.66,8.143
41470.67,8.012
41470.68,8.099
41470.69,7.880
41470.7,7.880
41470.71,8.099
41470.72,7.968
41470.73,8.055
41470.74,8.012
41470.75,8.012
41470.76,8.055
41470.77,7.968
41470.78,8.099
41470.79,8.099
41470.8,8.012
41470.81,8.187
41470.82,8.055
41470.83,8.099
41470.84,8.187
41470.85,8.274
41470.86,8.274
41470.87,8.099
41470.88,8.143
41470.89,8.231
41470.9,8.099
41470.91,8.231
41470.92,8.012
41470.93,8.012
41470.94,7.968
41470.95,8.012
41470.96,8.012
41470.97,7.793
41470.98,7.837
41470.99,7.662
41471,7.749
41471.01,7.749
41471.02,7.793
41471.03,7.618
41471.04,7.705
41471.05,7.705
41471.06,7.705
41471.07,7.793
41471.08,7.705
41471.09,7.793
41471.1,7.705
41471.11,7.793
41471.12,7.662
41471.13,7.705
41471.14,7.793
41471.15,7.749
41471.16,7.793
41471.17,7.837
41471.18,7.968
41471.19,7.924
41471.2,8.055
41471.21,7.924
41471.22,8.055
41471.23,8.099
41471.24,7.837
41471.25,7.968
41471.26,8.012
41471.27,7.968
41471.28,7.749
41471.29,7.793
41471.3,7.837
41471.31,8.012
41471.32,8.012
41471.33,7.837
41471.34,7.793
41471.35,7.880
41471.36,7.880
41471.37,7.880
41471.38,8.187
41471.39,8.231
41471.4,8.362
41471.41,8.143
41471.42,8.099
41471.43,8.187
41471.44,8.362
41471.45,8.187
41471.46,8.187
41471.47,8.012
41471.48,8.099
41471.49,7.924
41471.5,8.187
41471.51,8.099
41471.52,8.143
41471.53,8.055
41471.54,8.187
41471.55,8.231
41471.56,8.143
41471.57,7.968
41471.58,7.968
41471.59,8.012
41471.6,8.143
41471.61,8.143
41471.62,8.274
41471.63,8.099
41471.64,8.099
41471.65,8.099
41471.66,7.968
41471.67,7.924
41471.68,7.924
41471.69,7.793
41471.7,7.837
41471.71,7.924
41471.72,8.012
41471.73,7.968
41471.74,8.099
41471.75,8.099
41471.76,8.099
41471.77,7.968
41471.78,8.012
41471.79,8.055
41471.8,8.143
41471.81,8.099
41471.82,8.012
41471.83,8.099
41471.84,7.968
41471.85,7.880
41471.86,7.793
41471.87,8.012
41471.88,8.012
41471.89,7.880
41471.9,7.880
41471.91,8.099
41471.92,8.055
41471.93,7.968
41471.94,7.880
41471.95,8.012
41471.96,7.837
41471.97,7.924
41471.98,7.793
41471.99,7.749
41472,7.837
41472.01,7.618
41472.02,7.705
41472.03,7.793
41472.04,7.837
41472.05,7.880
41472.06,7.837
41472.07,7.924
41472.08,7.618
41472.09,7.618
41472.1,7.618
41472.11,7.574
41472.12,7.574
41472.13,7.662
41472.14,7.749
